Incident ID,Reporter,Date of Occurance,Responsible Dirctorate,Region,District,Chiefdom,Community/Town/Village,Latitude,Longitude,Type of Incident,Cause of Incident,Dwelling Houses, Facility,School,Health Facility,Community Facility,Religious Center,Number of Facility,Shops/Business Center,Business Owners,Number of Households,Population Size,Response Status,Type of Response,Partners Intervention,Collaboration,Collaborating Partners,Date of Response,Male,Female,Boys,Girls,Persons with disability,Pregnant,Lactating Mothers,Death Cases,Injured cases,School Going Boys,School Going Girls
220101FRWU001,Open Source,01/01/2022,R & R,Western Area,Western Urban,N/A,"National Stadium,Stand 16",8.432676,-13.276372,Fire,Unknown,0,0,0,0,0,0,0,0,12,12,12,Yes,Cash Transfer,No,Government only,Government Only,12/04/2022,2,8,0,2,1,0,1,0,1,0,1
211224FRWU053,DSCOORD,24/12/2021,R & R,South,Bo,Kakua,"Jnaga Street,Kindayama Bo City",7.76889,-12.01287,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,4,15,Yes,Food & Non-Food Items,No,Government only,Government Only,24/03/2022,2,7,2,4,0,0,1,0,0,1,2
220104HSTK001,Open Source,04/01/2022,R & R,North,Tonkolili,Gbonkoleken,Maforabie Town,8.717867,-11.951925,Building Collapse,Support ,0,Court Barrie,0,0,1,0,1,0,0,0,81,Yes, Shelter Kits Only,No,Government only,Government Only,30/03/2022,33,23,15,10,4,0,0,0,0,12,2
220109COWU003,Open Source,09/01/2022,R & R,Western Area,Western Urban,N/A,"Murray Town Military Barracks,Freetown ",8.432676,-13.276372,Building Collapse,Falling Tree,2,None,0,0,0,0,0,0,0,8,39,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,09/03/2022,21,11,4,3,0,0,0,0,3,4,3
220115FRKA005,DSCOORD,15/01/2022,R & R,North,Koinadugu,Wara Wara Yangala,"Cowyard Section, Kabala Town",9.59718,-11.54688,Fire,Electrical Malfunction,0,None,0,0,0,0,0,10,12,0,15,Yes,Cash Transfer,No,Government only,Government Only,30/03/2022,5,9,1,0,0,0,0,0,0,1,0
220112FRPU006,DSCOORD,12/01/2022,R & R,South,Pujehun,Sahn Malen ,Ngandonhun Village,7.272644,-11.228923,Fire,Unknown,1,None,0,0,0,0,0,0,0,1,6,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,16/03/2022,1,1,1,3,0,0,0,0,0,1,0
220118FRWU007,Volunteer,18/01/2022,R & R,Western Area,Western Urban,N/A,"44 Babadorie Hill, Lumley",8.432676,-13.276372,Fire,Electrical Malfunction,1,None,0,0,0,0,0,0,0,6,24,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,10/03/2022,11,8,2,3,0,0,0,0,0,2,0
220123FRWU008,Volunteer,23/01/2022,R & R,Western Area,Western Urban,N/A,Kolleh Town ,8.432676,-13.276372,Fire,Electrical Malfunction,5,None,0,0,0,0,0,0,0,94,368,Yes,"Food,Non-Food Items & Shelter Kits",Yes,Government & Partners,"Goal,Save the Children,Caritas,World Vision",25/01/2022,114,82,104,68,5,8,9,0,8,95,41
220111FRWU011,Open Source,11/01/2022,R & R,Western Area,Western Urban,N/A,3 Cassava Farm Juba,8.432676,-13.276372,Fire,Electrical Malfunction,2,None,0,0,0,0,0,0,0,5,19,Yes,Cash Transfer,Yes,Government & Partners,World Vision,04/02/2022,6,6,2,5,1,0,0,0,0,2,0
220111FRWO014,Open Source,11/01/2022,R & R,Western Area,Western Urban,N/A,"Kissy Dockyard,Polio Compound",8.432676,-13.276372,Fire,Unknown,1,None,0,0,0,0,0,0,0,7,26,Yes,Cash Transfer,Yes,Government & Partners,World Vision,04/02/2022,5,6,10,5,11,0,0,0,0,8,3
220124FRWU015,Volunteer,24/01/2022,R & R,Western Area,Western Urban,N/A,"Kanigo, Amani Bridge",8.432676,-13.276372,Fire,Unknown,1,None,0,0,0,0,0,0,0,3,9,Yes,Cash Transfer,Yes,Government & Partners,World Vision,04/02/2022,3,2,2,2,0,0,0,1,0,2,0
220114FRKE016,Open Source,14/01/2022,R & R,East,Kenema,Nongowa ,"5 Duduwa Street,Kenema",7.863851,-11.183396,Fire,Unknown,1,None,0,0,0,0,0,0,0,6,35,Yes,"Food,Non-Food Items & Shelter Kits",No,Government only,Government Only,24/03/2022,14,9,5,7,0,0,1,0,0,7,4
